name,cleaned_text,kmeans_cluster,gmm_cluster,agglomerative_cluster,spectral_cluster,merged_cluster,cluster_summary
BODi Health Fitness & Workouts,bodi is your complete fitness amp nutrition app in one place workout eat well without restrictive diets get results and stay motivated at home at the gym or on the go beachbody on demand is now bodi get all your favorite exercise programs like p90x insanity 21 day fix mbf muscle burn fat and dig deeper led by trainers like shaun t autumn calabrese megan davies and jennifer jacobs 130 step by step fitness amp nutrition programs stream thousands of workouts from beginner to advanced get the proven results for yourself fitness our 130 results proven fitness programs and thousands of energizing workouts ensure you reach your exercise goals and never get bored weight loss yoga pilates bootcamp style workouts dance workouts cycling cardio strength training weightlifting abs hiit barre mixed martial arts mma nutrition motivation and wellness please note bodi integrates with the health app.,11,11,11,11,1,"workout, workouts, fitness, get, dance, body, app, health, groove, collection"
Fitbod: Gym & Fitness Planner,apple editor s choice award winner no problem fitbod adapts to you with home training with no equipment needed each training session is custom built for your fitness level and equipment so you can make the most of every workout make lasting progress with fitbod your own ai trainer guiding you to your strongest self monitor your progress across multiple devices with integrations that make fitness tracking easy build customized workouts that integrate with apple health hit your next session with strava fitbit and apple watch integration fitbod does it all download today and discover a better way to achieve your fitness goals fitbod features ai generated workouts ai workouts maximize fitness gains by varying and balancing exercises adaptive ai learns from your edits to its workout recommendations fitness for everyone with advanced intermediate and beginner levels wide variety of workout modifiers to change up single sessions ability to save build or use your favorite strength training workouts pro fitness trainers available via email for all strength training questions 1000 exercises hi res multi angle videos of each exercise easy to understand detailed exercise instructions with hi res multi angle videos search exercises by muscle group equipment type or keyword cardio mobility pregnancy safe exercises and more are available consistent updates made to optimize the exercise library integrations integrated with apple health to build customized workouts integrated with strava and fitbit available for ios and apple watch california privacy rights url join the fitbod community instagram instagram com fitbodapp twitter twitter com fitbodapp facebook facebook com fitbodapp strava strava com clubs fitbod.,0,0,0,0,2,"workouts, workout, home, amp, fitness, exercises, gym, progress, weight, apple"
Gymverse: Gym Workout Planner,the gymverse workout app optimize your workout results at the gym amp at home build muscle amp lose weight with a custom workout routine for your fitness goal and body type start to work out the smart way with your own personal trainer in your pocket 1 rated gym workout app smart trainer acts as your personal gym coach automatic weight optimization workout amp exercise tracking most effective gym amp home workouts focus on particular muscle groups multiple workouts for your fitness goals workout coach builds your gym amp home workouts home workouts using minimal equipment amp body weight expert intermediate amp beginner workouts for optimized muscle training modify any of our pre made workouts add your own workouts amp exercises to the app exercises rich photos and hi res videos of each training exercise over 300 exercises so you can train at the gym or at home easy to understand detailed instructions search by muscle group equipment type or keyword save your favorite fitness exercises healthkit integrated with apple health for age weight and gender data to build customized workouts see more url.,0,0,0,0,2,"workouts, workout, home, amp, fitness, exercises, gym, progress, weight, apple"
Sweat: Fitness App For Women,train at home or in the gym with one of the world s largest women s fitness communities get the fitness motivation you need with sweat a personal training app featuring co founder and elite head trainer kayla itsines join kayla and sweat s other world class trainers kelsey wells britany williams cass olholm and more on your journey to discovering fitness confidence find a training style you enjoy with easy to follow beginner intermediate and advanced workouts including hiit high intensity interval training circuit training bodyweight exercises powerbuilding strength training yoga barre pilates recovery cardio pregnancy and postnatal train your way follow a program or work out on demand choose workouts that suit your lifestyle with no equipment free weights or machines and express workouts when you are short on time sweat s features make it simple to stay on track and keep on top of your progress features include exercise descriptions and video demonstrations exercise substitutions to make movements harder or easier trainer audio cues log weights used during gym based programs share sweaty selfies with your friends and the sweat community to keep motivated comprehensive education section covering fitness nutrition and wellbeing over 200 fresh amp fast meals for every lifestyle 24 7 access to the sweat community enable apple health with your apple watch to keep track of all your activity in the sweat app url url.,20,20,20,20,3,"workouts, workout, fitness, women, weight, get, app, body, fit, loss"
Fitplan®: Gym & Home Workouts,i imagine it s mostly due to having a routine and knowing that the correct exercises are being utilized wish i had this app 10 years ago home workouts bodybuilding bodyweight hiit training booty training weightlifting athletic training hypertrophy functional training bulking shredding and weight loss choose from dozens of personal training programs designed by your favorite fitness experts work out at the gym at home or anywhere life takes you see how your entire body transforms with your hard work and sweat keep tabs on your weights reps and time and watch your results take shape get involved with our community make friends and get motivated facebook url integration with health app.,6,6,6,6,4,"fitness, workouts, body, workout, training, home, app, get, amp, health"
Dr. Muscle AI Personal Trainer,expert reviews it makes working out very simple all you do is answer a few questions about your unique situation and your goals and then it generates a workout program for you jason maxwell aerospace engineer and fitness and nutrition author 90 of people over the age of 35 lose enough muscle every year to burn off an additional 4 pounds of body fat don t let this happen to you lift weights you ll look and feel years younger john rowley best selling co author of old school new body lee hayward competitive bodybuilder muscle building coach and author a personal invitation hi i m dr carl juneau in 2009 i got really sick and lost all my muscle mass as a trainer that was rough let s just say clients didn t really trust me even with a phd i just didn t look the part it gets you in shape fast like a personal trainer but it s 59 faster evidence based and always up to date it automates almost everything and guides you through the entire process it s designed to make training a rewarding experience simple and fun again dr muscle is a personal trainer in your phone customizes your workouts based on your profile and your own progress gets you in shape 59 faster with rest pause and other advanced techniques uses artificial intelligence to update your program every time you work out always up to date and evidence based features 34 workouts 500 exercises gym workouts home workouts weight lifting or bodyweight busy get a custom program in 5 minutes based on your age goals and experience advanced customize everything add your own exercises and workouts customize reps sets rest the ai will apply its logic to your custom program deloads rest pause sets reps in reserve rir based rpe and 18 more track your progress full workout history charts for all exercises charts for your average progression apple health calories workout time more chat your human coach and fellow serious lifters await you inside backed up in the cloud never lose your data track your fitness view your history online upload a custom program great for powerlifting bodybuilding strength training hypertrophy training 48 99 month 399 99 year.,6,6,6,6,4,"fitness, workouts, body, workout, training, home, app, get, amp, health"
30 Day Fitness - Home Workout,get your whole body toned and feel like the best version of yourself drop any extra weight with minimum struggle nothing comes without any effort and see a noticeable difference in your shape in 30 days try it now follow the 30 day fitness challenge and see your fat cells melt away what will happen after thirty days of exercise you ll finally achieve these goals toned arms flat tummy peachy butt skinny thighs bikini beach body sculpted abs lose weight never used a more effective app while being on a diet at the same time i had abs within a month would recommend to anyone who can take exercises user from australia sept 2017 great way to get started on fitness journey user from south africa sept 2017 i ve been only using it for three days and i can already see progress great app user from us mar 2018 you are special and so is your body download 30 day fitness challenge app now features hundred of exercises carefully selected for you video instructions for all the routines view your workout history to track the progress you achieved while 30 days fitness is suitable for people of any fitness condition specific results cannot be guaranteed as they can vary according to each individual s body please seek medical advice and make sure to read our policies before you start.,6,6,6,6,4,"fitness, workouts, body, workout, training, home, app, get, amp, health"
Injurymap - Physiotherapy App,benefits of using injurymap effective pain relief every time you train with injurymap you get exercises that build your balance mobility and strength in the injured area the exercises relieve treat and prevent pain developed by specialist doctors and physiotherapists injurymap s 350 exercises have all been selected by medical specialists based on the best scientific evidence in muscle and joint pain treatment safe exercises tailored to your needs the app continually adjusts your workout program to give you the exact exercises you need for your specific injury and pain track your progress the video exercises make it easy and safe to train wherever and whenever you want at home or during a break at work understand your pain and how to prevent it meet your physiotherapist online injurymap covers the following areas achilles pain ankle pain arch pain back pain elbow pain hip pain knee pain neck pain shoulder pain about injurymap injurymap is ce marked as a medical device the ce mark guarantees that injurymap conforms to the health and safety standards set by the european union 12 months 40 99 3 42 month 1 month 9 49.,13,13,13,13,5,"workout, pain, get, exercises, weight, gym, injurymap, body, loss, fitness"
Fitonomy: Home & Gym Trainer,personalized workouts our exercise programs are personalized based on your fitness goals in fitonomy you can find workouts amp exercises like hiit workouts biceps leg workouts glutes ab workouts cardio arm exercises back and shoulder workouts track your fitness journey inspiring community by working out with fitonomy you have a 24 hour fitness on your phone can get fit at home or at the gym do s and dont s learn about common mistakes that you should avoid during the workout and learn the proper way of performing the exercises how to a step by step guide on how to perform exercises correctly pain relief we integrate the health kit so we can display the steps within our app we also calculate the approximate calories burned from walking which then we display users the approximate amount on how many calories they have burned join the millions of people that are using fitonomy start working out now.,18,18,18,18,6,"workouts, workout, app, fitness, equipment, home, training, ifit, time, choose"
Fitness: Workout for Gym|Home,get fit at home or in the gym your personal workout trainer key features home amp gym training no equipment no problem ai powered trainer smart recommendations based on progress strength hiit amp cardio effective amp science backed workouts weight amp progress tracking stay motivated track results easy to follow video guides perfect your form why choose us designed by certified trainers for real results tracks calories reps sets amp progress works offline no wifi needed perfect for muscle gain weight loss amp staying active download now amp start your fitness journey.,0,0,0,0,2,"workouts, workout, home, amp, fitness, exercises, gym, progress, weight, apple"
