app_id,description
1115016614,"Harmonium Player Anywhere with MIDI SupportHarmonium Anywhere as name says is a best alternate to a real Harmonium.If you are travelling or has no access to real harmonium, or just need a quick practice before performance, you will find Harmonium Anywhere pretty handy.Samples are recorded from a high quality Made in India Harmonium.For quick practice sessions, this is a must have application.Harmonium Anywhere provides:- 3 octaves.- Multi touch keyboard.- Coupler feature (Right Octave).- Real harmonium high quality sound with 3 sustain levels.- Reference/Highlighter key, to allow especially kids to remember the start note.- Scale changer up to 12 notes.- Note identifier in 3 different formats: Western, Gurmukhi, Devanagari Notations.- Scroll lock feature to lock accidental scroll of keyboard.- Display Optimized for both iPhones and iPads.- Designed keeping the needs of Kids who don't have real harmoniums.- Compatible with other music apps, e.g. tabla apps on app store.- Zoom button added to provide more keys especially on iPads.- Now you can either record:  - Harmonium sound only  - Any sound including Harmonium with the help of in-built microphone.  - Playback recordings, share on social sites or with friends, teachers, etc.- Better sound clarity.- MIDI support- More features will follow based on user feedback/reviews.- Loop feature for each harmonium key"
1208416399,"Cool hairstyles, exotic outfits, beach beauty & crazy pet care games for kids!Join millions of kids in new hairstyling and beauty makeover adventures in Jungle Animal Hair Salon 2 kids game! Meet their beloved beauty salon clients at the beach and play new summer holiday makeover and pet care games for kids. Wash, dress up, style and design fun and crazy looks!Kids' favorite jungle animals and new games make Jungle Animal Hair Salon 2 the best sequel of the most popular pet care game for kids from TutoTOONS. Free your imagination and have fun!Travel to the tropics and say hello to leopard Amy, elephant Sarah, zebra Gizelle, monkey Maya and toucan Rosa. Every jungle animal has its own style and favorite spa but they all need summer fashion tips from the best pet beauty salon! Leopard Amy wants to look cute with new makeup and fancy clothes. Elephant Sarah loves a spa bath and wants to dress up for holidays at the beach. Zebra Gizelle can’t wait to try new hairstyles and cool outfits. Monkey Maya plays in the jungle, always gets messy and hungry. Toucan Rosa misses her Rio Carnival look and needs your help to look wonderful. Take your hair styling tools to the sandy beach and start your summer beauty salon adventures!Play tropical summer beauty salon and pet care games for kids: · Pick the animal you want to style first: leopard, elephant, zebra, monkey or toucan!· Try out different hairstyles and outfits and create a magical look for zebra Gizelle!· Clean up hungry monkey Maya, feed her, dress up and do an amazing hairstyle!· Take care of elephant Sarah's skin, do nails, style hair and choose the cutest clothes!· Get ready for the scariest night and carve a pumpkin for Halloween party!· Wash and braid leopard Amy's hair, do makeup and dress up in style!· Mix and match carnival accessories and create a Brazilian look for Rosa, queen of the jungle!· Play music with leopard Amy’s ukulele and toucan Rosa’s maracas!· Join sloth Linda at the beach hut and make exotic fruit slushies for everyone!· Play Jungle Animal Hair Salon 2 kids game every day and collect bonus coins!· Level up and unlock new exciting mini games with your favorite jungle animals!· Watch videos for kids and toddlers, earn coins and unlock new dress up items!· Play, learn about jungle life and tropical animals and have tons of fun!- - - - - - - - - - - - - - - - - - - - - - - -About TutoTOONS GamesTutoTOONS games foster creativity, promote kindness and bring joy to everyday life. TutoTOONS strives to bring meaningful and safe mobile experience to millions of players worldwide.Important MessageThis app is free to download, but requires a paid subscription to access in-game content.By downloading this app you agree to TutoTOONS Privacy Policy https://tutotoons.com/privacy_policy/ and Terms of Use https://tutotoons.com/terms . Discover More Fun with TutoTOONS!· Subscribe to our YouTube channel: https://www.youtube.com/@TutoTOONS· Learn more about us: https://tutotoons.com· Read our blog: https://blog.tutotoons.com· Like us on Facebook: https://www.facebook.com/tutotoons· Follow us on Instagram: https://www.instagram.com/tutotoons/"
1280556610,"- Caller ID for incoming calls. - Database of scammers and SPAM numbers for free- Block calls from numbers by your choice- SMS block by numbers and contained text- see a real caller name for unfamiliar calls and telephone numbers, now you know whos calling you- checking the phone number before you answer the call thanks to the offline database of scammers and spammers (1.9 million entries), do not forget to update this list inside the application! This is an option of the Automatic Phone Number Identifier - true and real time Caller ID and free blacklistBlock calls from numbers by your choiceSMS block by numbers and contained text- Access to ALL NumBuster data about phone numbers is possible ONLY through the search bar by number within the app or when you use the function “share contact in NumBuster” from your call log in iPhone- you can see how this telephone number is called by other people- you can send a request to any NumBuster User in your contacts - and find your mutual acquaintances! Who are your mutual friends? It's useful, safe and just fun!- you can find out the name who is calling from an unfamiliar incoming phone number, the caller ID works thanks to an anonymous exchange of knowledge about telephone numbers between all NumBuster Users!- protection from fraudsters, advertising (spam), from collectors, car dealers, dealers, intruders - check the number according to current online dataNumBuster true id caller name - professional solution for your protection.In addition to combating telephone fraudsters, advertising, surveys, dealers and financial pyramids, NumBuster constantly learns and informs you about phone numbers:- banks- shops- car dealerships- insurance companies- collectors- robocallsIncluding virtual phone numbers, under which employees of companies and fraudsters are trying to hide!With the help of the call number identifier you can find out whose phone number is calling and to whom it belongs, our social caller id allows you to find the name by phone number and understand where the call comes from, who is calling from an unfamiliar phone number and from where.- The program takes into account the experience of hundreds of thousands of Users and allows you to identify most unwanted calls and sms with advertising and scammersPC Magazine / RE: ""NumBuster - App of the Year 2015!""IMPORTANT- Your phone number will still be able to see ONLY for those you call yourself - we carefully protect your data, contact lists and call log from intruders and are not using these in any wrong behaviour- Numbuster does not cooperate with banks, data collection agencies, marketers and other scammers. NumBuster works for their victims, and not vice versa!- No one can find out your phone number! No name search in the app!- No one, including Moderators, can even theoretically access your data and the contents of your contacts. Its prohibited for evereyone.- our User Agreement: https://numbuster.com/en/tosThe application has paid features!• Payment for them occurs when you confirm the purchase in iTunes• subscriptions auto-renew if you don’t cancel them 24 hours before they end• your account will be charged the amount of payment for a subscription 24 hours before its termination, if you do not turn it off• auto-renewal of a subscription can be turned off in the Settings of your iTunes Account.Facebook: https://www.facebook.com/numbustersThere are no applications for smartphones capable of ""hacking"" the service of telecom operators, allowing you to call from a ""hidden"", ""unknown"" or ""anonymous"" number!1) Enable call forwarding on your smartphone2) Set up the function so that the redirection is triggered when your number is “unavailable” or “busy”.3) In the settings of this function, enter the phone number of another smartphone (your friend or relative, who is usually with you).4) Now, when an incoming call from the ""hidden"" drop the call without picking up the phone5) The call is immediately forwarded to the number that you specified in the function settings.6) You will see on the screen of the second smartphone a REAL number =)"
1328884128,"Create crazy hairstyles & trendy outfits in this pet beauty salon game for kids!Crazy Animal Hair Salon goes to sunny Australia! Pack your hairstyling tools and get ready for new virtual pet fashion makeovers and animal beauty salon adventures! Meet the cute pet beauty salon clients: leopard Amy, baby koala Maggie, kangaroo Sydney and snake Crystal. Help your new pet friends express themselves through style with crazy haircuts, beautiful makeup and fashionable outfits in the best pet beauty salon game!STYLE LEOPARD AMYWorld's most fashionable cat girl Amy needs a new hair and style makeover! Create amazing hairstyles for her! Do Amy’s makeup and change her eye color. Try on latest fashion trends with leopard Amy!TAKE CARE OF KOALA MAGGIEMaggie is the sweetest baby koala! Give baby koala Maggie a bubble bath and dress her up in cute girly clothes. Create adorable hairstyles for Maggie and feed her if she’s hungry!VLOG WITH SNAKE CRYSTALSnake Crystal is a popular pet beauty vlogger. Take care of snake Crystal’s hair and apply a hair mask. Style her hair: create curls, waves and braids! Choose from even more trendy hair colors! Dress up Crystal in trendy snake clothes and apply flawless makeup!GET TRENDY WITH KANGAROO SYDNEYKangaroo Sydney is a new Animal Hair Salon client! Do makeup and design a super cute outfit for her. Cut, curl, wash and style Sydney’s hair to find the best haircut for her!Every Animal Hair Salon girl game has a unique location - jungle, rock show, Santa’s village and now Australia! In Animal Hair Salon virtual pet care games, kids can learn about and play with animals from all around the world. They may look different but they all share the same passion for freedom and fashion! Enjoy endless creativity, style makeovers, hair care fun and fashion dress ups in this virtual pet care and beauty salon game!UPGRADE TO TUTOCLUB!Subscribe to enjoy a huge portfolio of games with extraordinary TutoClub features:- UNLIMITED GAME CONTENT: Exclusive access to complete games.- NO ADS: Smooth playtime experience with no interruptions.- SAFE SPACE ONLINE: A 100% family-friendly place with no unwelcome content.- REGULAR UPDATES: Access to all future updates, new game releases & additional content.- PREMIUM IN-APP PURCHASES UNLOCKED: TutoClub members enjoy exclusive content.- FUN FOR ALL AGES: Original TutoTOONS games designed for boys & girls aged 3–8 & up.- LEARNING THROUGH PLAY: Carefully curated selection of games that cherish creativity, self-expression, responsibility, attention to detail & problem solving skills.Become a TutoClub member today & ensure enriching playtime experiences for your kids! Find out more: https://tutotoons.com/tutoclub/- - - - - - - - - - - - - - - - - - - - - - - -About TutoTOONS GamesTutoTOONS games foster creativity, promote kindness and bring joy to everyday life. TutoTOONS strives to bring meaningful and safe mobile experience to millions of players worldwide.Important MessageThis app is free to download, but requires a paid subscription to access in-game content. By downloading this app you agree to TutoTOONS Privacy Policy and Terms of Use https://tutotoons.com/terms.Want to report an issue or share suggestions? Contact us at support@tutotoons.comDiscover More Fun with TutoTOONS!· Subscribe to our YouTube channel: https://www.youtube.com/@TutoTOONS· Learn more about us: https://tutotoons.com· Read our blog: https://blog.tutotoons.com· Like us on Facebook: https://www.facebook.com/tutotoons· Follow us on Instagram: https://www.instagram.com/tutotoons/"
1382868950,"Welcome aboard the real-time flight tracking app with one of the best and most accurate coverage worldwide. Download the app for free and know the exact current position of every plane in the sky in real-time! Why is AirNav Radar the best and most accurate?Most airplanes today are equipped with ADS-B transponders (Automatic Dependent Surveillance-Broadcast radio transmitter-responders) that transmit their position - latitude, longitude, altitude - speed and the aircraft unique identifier. AirNav Systems designs, produces and distributes ADS-B radio receivers. We maintain a network of more than 9.000 receivers (and counting) all over the world. With a team of aviation technology experts working in the constant optimization of the platform signal processing capabilities AirNav Radar is the best and most accurate flight tracker available.Features:- Get individual live flight information and see an airplane photo of any aircraft that is in the sky.- Check flight details like aircraft make and model, route, altitude, position and speed. Even specific photos for each aircraft, courtesy from aircraft spotters from all over the world!- See the last 7 days of flight information and watch replays of past flights.- Know all arrival and departure flights of any airport and it's status: if it's delayed, still in flight, in taxi and any status information provided by the airplane squawk code.- Search flights through flight number, company, airport, altitude and speed.- Multi-source data: we get data from ADS-B, ASDI (US radar based flight information), Oceanic, Multilateration, Satellite and Estimated and cross-reference several data points to give you the most accurate information that technology can provide.SpotterSame feature set as Free plan, plus:- Ad-free experience. If you subscribe a premium plan you won't see or hear any ads.- Continuous real-time flight tracking. No map timeouts after ten minutes.- Listen in on 1 hour of radio transmission chatter from any control tower.- Full flight details. Get the full flight speed and altitude graph.- Get Terrain, Satellite and Hybrid map layers.- See the last 30 days of information and watch replays of past flights.- Get priority support.PilotSame feature set as Spotter plan, plus:- Listen to radio transmission chatter from any control tower. Unlimited.- Get Terrain, Satellite, Hybrid and SkyVector map layers.- Add a weather layer to the map to know current weather conditions everywhere.- Remove distracting information in Fullscreen Mode.- Advanced filtering. See only what you want.- Download raw data (limited to 10 downloads per month).BusinessSame feature set as Pilot plan, plus:- See 365 days of information and watch replays of past flights.- Add flights to a list and track your fleet.- Airport view: know all flights arriving or departing from an airport as well as other status information about each airport such as weather and visibility conditions.- Download raw data (limited to 100 downloads per month).Subscription conditions:- Subscribe to a premium plan on a monthly or yearly basis.- Payment will be charged to iTunes Account at confirmation of purchase- Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period- Account will be charged for renewal within 24-hours prior to the end of the current period, and identify the cost of the renewal- Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings after purchase- Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicablehttps://www.airnavradar.com/terms-of-useHave a safe flight, you are cleared for take-off!Make a blip in our radar or throw us your paper airplane:Email: support@airnavradar.com"
1442079205,"Play with a cute little virtual pony in this pet care & dress up game for kids!You got a gift - a super cute virtual unicorn baby! Become the best magical pony nanny! Hatch a colorful egg and take care of the cutest newborn unicorn with rainbow hair! Bathe, feed, potty train, dress up, sing to sleep and play fun games with your tiny virtual pet friend! Decorate the baby unicorn’s room with rainbow colors! Play My Baby Unicorn virtual pet care game for kids every day and watch your virtual pet pony grow!HATCH AN EGG & DRESS UP YOUR VIRTUAL PET UNICORN!Surprise! You have a magical egg to hatch! Watch a tiny magical baby hatch and get ready to babysit and take care of the newborn unicorn! Design and decorate the baby’s room with rainbow colors and fun accessories! Dress up your baby unicorn in colorful outfits for babies, toddlers and kids!BATHE & POTTY TRAIN YOUR TINY UNICORN!Your baby unicorn likes to be super clean! Bathe the little one and enjoy the magical pony’s fun reactions to rainbow soap or slime bath! Potty train your tiny unicorn pet and don’t forget to wash hands afterwards!FEED & SING LULLABIES TO YOUR BABY PONY PET!Feed your baby unicorn fun and yummy foods: fruits, veggies, candies, donuts and even a cute unicorn cake! Give a squishy toy to your baby unicorn and sing the little one to sleep! Sweet dreams, baby unicorn!PLAY GAMES WITH YOUR RAINBOW UNICORN!UPGRADE TO TUTOCLUB!Subscribe to enjoy a huge portfolio of games with extraordinary TutoClub features:- UNLIMITED GAME CONTENT: Exclusive access to complete games.- NO ADS: Smooth playtime experience with no interruptions.- SAFE SPACE ONLINE: A 100% family-friendly place with no unwelcome content.- REGULAR UPDATES: Access to all future updates, new game releases & additional content.- PREMIUM IN-APP PURCHASES UNLOCKED: TutoClub members enjoy exclusive content.- FUN FOR ALL AGES: Original TutoTOONS games designed for boys & girls aged 3–8 & up.- LEARNING THROUGH PLAY: Carefully curated selection of games that cherish creativity, self-expression, responsibility, attention to detail & problem solving skills.Become a TutoClub member today & ensure enriching playtime experiences for your kids! Find out more: https://tutotoons.com/tutoclub/- - - - - - - - - - - - - - - - - - - - - - - -About TutoTOONS GamesTutoTOONS games foster creativity, promote kindness and bring joy to everyday life. TutoTOONS strives to bring meaningful and safe mobile experience to millions of players worldwide.Important MessageThis app is free to download, but requires a paid subscription to access in-game content. By downloading this app you agree to TutoTOONS Privacy Policy and Terms of Use https://tutotoons.com/terms.Discover More Fun with TutoTOONS!· Subscribe to our YouTube channel: https://www.youtube.com/@TutoTOONS· Learn more about us: https://tutotoons.com· Read our blog: https://blog.tutotoons.com· Like us on Facebook: https://www.facebook.com/tutotoons· Follow us on Instagram: https://www.instagram.com/tutotoons/"
1453835850,"Code de la route 2023 est l’application mobile du site codedelaroute.io qui compte 1'000’000 inscrits et 93% de réussite à l’examen du code de la route.Nous vous offrons 7 jours gratuits pendant lesquels vous aurez un accès illimité à tous nos contenus sur l’application mobile et sur notre site Internet. Vous disposerez de tout ce dont vous avez besoin pour obtenir le code rapidement avec ou sans auto-école :- 31 examens blancs en conditions réelles.- 1500 questions, cours et vidéo en 3D conformes à l'examen officiel du code de la route 2023, rédigées par des professionnels diplômés de l’ECSR (Enseignement de la Conduite et de la Sécurité Routière). La base de questions officielles du code de la route comporte 1000 questions. Nous avons donc sélectionné uniquement les questions essentielles à votre réussite pour vous permettre d’être prêt à passer l’examen plus rapidement.- Suivi de votre progression.- Mode hors ligne pour réviser lorsque vous n’avez pas Internet.- Mode horizontal pour un plus grand confort de révision.- Guide pour obtenir son numéro NEPH et s’inscrire au code de la route en candidat libre.- Réservation de votre session d’examen dans un des 790 centres partenaires La Poste (30€ prix fixé par le Ministère).- Un coach virtuel vous indique lorsque vous êtes prêt à passer le code.4,5 étoiles sur 5 Quelques avis de nos utilisateurs :« Premier examen du code raté après 7 mois à l’auto-école et en même pas 2 semaines avec cette application j’ai eu mon code »06/08/19 — Alyly Shakurette« J’ai passé mon code il y a 15 ans, me voici de nouveau obligé de le passer à nouveau pour obtenir un nouveau permis. En faisant les codes blancs, je n’arrive pas à moins de 10 fautes, même au bout de 10... cependant, les questions sont techniques... après révision des cours puis une dizaine de codes blancs, je me lance pour l’examen , obtention du code avec seulement 2 fautes. J’ai révisé à fond pendant seulement 2 jours... merci l’application qui prépare très bien. »09/07/2019 — Jeff« Juste pour vous dire merci pourquoi grâce à vous j’ai eu mon code ! J’avais déjà révisée avec d’autre site, et cela faisait 6 mois que je révisais et j’avais échouée 2 fois au code, je me suis inscrite mardi j’ai passée mon code le vendredi, et je l’ai eu avec 3 fautes seulement, merci beaucoup ! La version gratuite m’a suffit en plus ! »09/07/2019 — boudraasefanaPour toute question ou suggestion, n’hésitez pas à nous contacter sur contact@codedelaroute.ioBonnes révisions !7 jours gratuits offerts : La version premium offre un essai automatique de 7 jours suivi d'un abonnement hebdomadaire de 4,99€ qui donne accès aux examens et aux leçons. Le paiement sera débité du compte iTunes lors de la confirmation de l'achat. L'abonnement est automatiquement renouvelé sauf si le renouvellement automatique est désactivé au moins 24 heures avant la fin de la période en cours. Le compte sera débité pour le renouvellement dans les 24 heures précédant la fin de la période en cours, et identifiera le coût du renouvellement. Les abonnements peuvent être gérés par l'utilisateur et le renouvellement automatique peut être désactivé en allant dans les paramètres du compte de l'utilisateur après l'achat. Toute partie non utilisée d'une période d'essai gratuite, si elle est offerte, sera perdue lorsque l'utilisateur achètera un abonnement à cette publication, le cas échéant.Conditions générales : https://codedelaroute.io/apiv2/cgu"
1455222739,"Collect adorable little animals, take care of virtual pets and play fun mini games!Meet Smolsies — the cutest squishy pom-pom creatures and your new virtual pets! Hatch surprise eggs and collect all the pet Smolsies - feed, take care of them and watch baby animals grow! Merge Smolsies to get new fluffy animals, explore their house and play fun mini games!HATCH & COLLECT PETSHatch all surprise eggs to collect all the baby Smolsies, each cuter than the last! Put two Smolsies into a magical pet merging machine and get a new surprise egg! Crack it open to discover even more pets and collect them all! Hint - there's a fantasy unicorn cat to hatch!CARE FOR VIRTUAL PETSSmolsies need love, care, and attention! Hatch eggs feed the babies, clean the house, play games, and watch your virtual pets grow! Bathe your animals, put to bed when tired, and create DIY hats with adorable pins for them to wear!PLAY FUN MINI GAMESSmolsies love playing games! Unlock and enjoy fun jumping, basketball, soccer, coloring, and hat designing mini games! Play to collect coins and win awesome gifts for your virtual house! Play Smolsies - the cutest virtual pet care game from the creators of Fluvsies and Kpopsies! Download now to hatch your first surprise egg, take care of cute baby animals, and play mini games!Discover more about the Smolsies world:FB: https://www.facebook.com/SmolsiesGameIG: https://www.instagram.com/smolsiesgame/UPGRADE TO TUTOCLUB!Subscribe to enjoy a huge portfolio of games with extraordinary TutoClub features:- UNLIMITED GAME CONTENT: Exclusive access to complete games.- NO ADS: Smooth playtime experience with no interruptions.- SAFE SPACE ONLINE: A 100% family-friendly place with no unwelcome content.- REGULAR UPDATES: Access to all future updates, new game releases & additional content.- PREMIUM IN-APP PURCHASES UNLOCKED: TutoClub members enjoy exclusive content.- FUN FOR ALL AGES: Original TutoTOONS games designed for boys & girls aged 3–8 & up.- LEARNING THROUGH PLAY: Carefully curated selection of games that cherish creativity, self-expression, responsibility, attention to detail & problem solving skills.Become a TutoClub member today & ensure enriching playtime experiences for your kids! Find out more: https://tutotoons.com/tutoclub/- - - - - - - - - - - - - - - - - - - - - - - -About TutoTOONS GamesTutoTOONS games foster creativity, promote kindness and bring joy to everyday life. TutoTOONS strives to bring meaningful and safe mobile experience to millions of players worldwide.Important MessageThis app is free to download but requires a paid subscription to access in-game content. By downloading this app you agree to TutoTOONS Privacy Policy and Terms of Use https://tutotoons.com/terms.Discover More Fun with TutoTOONS!· Subscribe to our YouTube channel: https://www.youtube.com/@TutoTOONS· Learn more about us: https://tutotoons.com· Read our blog: https://blog.tutotoons.com· Like us on Facebook: https://www.facebook.com/tutotoons· Follow us on Instagram: https://www.instagram.com/tutotoons/"
1462406146,"KushScan - Your ultimate mobile companion for identifying and understanding different weed strains. Snap a photo of your dry weed, and our app, powered by cutting-edge computer vision algorithms, reveals its strain name, THC level, and whether it's sativa or indica. Explore the world of weed with ease, as we present the three most visually similar strains from our extensive database, including varieties like Chocolope, G13, OG Kush, Pineapple Express and more.Gain insights into your weed experience by performing mobile cannabis testing. Predict the mood and effects based on the sativa/indica level, ensuring you have the perfect strain for every occasion. Use our app to take a new photo or select one from your gallery, making the process seamless and personalized.Dive deeper into the world of weed with our probability screen, where you can tap on a flower photo to access extended information about your chosen strain. Discover the nuances of each weed type, thanks to our continuously updated database derived from in-depth genetic analyses of hundreds of popular marijuana varieties.Share your unique cannabis journey with the world through our Feed functionality. Users can post photos of their scanned buds in the feed, connecting with fellow enthusiasts globally. Whether you're showcasing a rare strain or seeking recommendations, our community-driven platform fosters a sense of camaraderie among weed enthusiasts.Embark on a journey of discovery with a simple, yet sophisticated application that combines more than two years of research in texture and color features. KushScan brings you the most convenient way to explore and understand the diverse world of weed. Download now and elevate your smoking experience with confidence.WARNING: THE APPLICATION DOES NOT GIVE 100% ACCURACY, IT IS DESIGNED AS ENTERTAINING ONE, ANY INFORMATION PROVIDED BY THE APPLICATION DOESN'T HAVE PRESCRIPTION CHARACTERISTIC, AN INFORMATION PROVIDED IN THE APPLICATION IS NOT A LEGAL ADVICE, A USER SHOULD CONSULT PROFESSIONALS (E.G. MEDICAL SPECIALISTS) BEFORE TRYING ANY TYPE OF PRODUCT.Terms of Use (EULA): https://www.apple.com/legal/internet-services/itunes/dev/stdeula/We currently use the App Tracking Transparency feature. The 'App Tracking Transparency permission request' is automatically triggered when starting the app and appears only once per app installation."
1470146079,"NFC is supported on iPhone 7 or newer only; iPad and iPod Touch do not have the hardware to interact with NFC tags.-----Read, write, interact, and hack your NFC tags on your supporting iPhone!Smart NFC is one of the first apps to support native NFC writing directly from your device. With numerous custom records to get you started, you'll be writing to most NDEF-formatted NFC tags in no time. Don't have any NDEF-formatted tags? Format them in the Advanced section.Tag-specific features are being added that allow you to edit a tag's memory directly, which opens the doors to all kinds of new features!Tag not scanning? NDEF format new tags from the Advanced section to get them working right!An NFC tag is written with a single ""Message"" which contains any number of ""Records."" These records define text, links, and data to be stored on the tag. Most tags can be scanned by holding the top of your iPhone within a few centimeters. A chip is only limited only by its size. As long as the chip is NDEF-formatted (most are, and other formats will be supported in a later version) and it has enough space, the limits are endless!Features:- Read, write, duplicate, erase, and permanently lock NDEF-formatted tags- Monitor a tag's max capacity (usually somewhere between 256-1024 Bytes)- Read, write, and interact with links (https://, sms://, facetime://, mailto:, etc.)- Write a variety of pre-defined Social Media and website records- Read and write text records with multiple language localizations- Use Background Tag Reading to interact with NFC tags without an app. Write a link to a tag and then tap it to your phone. Voila! (Supported on iPhone XS and newer)- Review and rewrite previous messages from your History to another tag- Format factory-programmed tags as NDEF tags in-app (Supports most common tags such as Type 2 and Type 5 NFC tags)- Read and write directly to a tag's memory- Send custom commands directly to a tag- And of course, target your users better by using a tag's unique identifierExtras:- Dark Mode- Privacy: we collect nothing as you use the app.Supported Devices:- NFC scanning is available on iPhone 7 and newer. iPad and iPod Touch do not have the required hardware.- Background Tag Reading is available on iPhone XS and newer. iOS will present a notification for the first valid link stored on a tag.Supported Tags:- Any NDEF-formatted tags- MIFARE Ultralight- NTAG 213/215/216- NXP ICODE® Tags, ISO 15693 Tags, and Type 5 TagsFuture support for:- MIFARE DESFireLimitations:- MIFARE Classic tags are not currently supported by iOSFuture features:- Include a tag's ID and/or its read count in a record- Password-protect an NFC chip- Connect to a Bluetooth deviceFeel free to Tweet feature requests to me at @0xA1EC"
